testing_performance,testing_complexity,training_performance,training_complexity,task_id,validation,seed
0.5743243243243243,58631,0.5720095693779905,52654,359959,aggregated,10231
0.7466666666666667,18,0.8008340649692715,18,359955,aggregated,10087
0.8679245283018868,496,0.874602463605823,496,359956,aggregated,10179
1.0,23232,1.0,22297,359960,aggregated,10297
0.6711409395973155,29,0.611255751318595,29,2073,aggregated,10251
0.8867924528301887,70261,0.8767525195968645,63264,359956,aggregated,10151
0.7162162162162162,221,0.6948213478064224,224,359954,aggregated,10042
1.0,602,0.9993589743589745,543,359960,aggregated,10289
0.5743243243243243,91041,0.5697482342219183,81144,359959,aggregated,10219
1.0,374,0.9974234904880067,333,359960,aggregated,10285
0.5675675675675675,28537,0.5653053087263613,25400,359959,aggregated,10215
0.7162162162162162,171,0.6858208955223881,170,359954,aggregated,10033
0.6486486486486487,119187,0.6887833559475351,107384,359954,aggregated,10050
0.697986577181208,106601,0.6105094826618787,88473,2073,aggregated,10247
0.7733333333333333,339,0.8067603160667252,306,359955,aggregated,10085
0.7181208053691275,81256,0.5977499719447873,73513,2073,aggregated,10246
0.527027027027027,575,0.5712292093871042,575,359959,aggregated,10233
0.8705882352941177,772,0.8528366370471634,772,190146,aggregated,10093
0.8867924528301887,7345,0.8745800671892499,7345,359956,aggregated,10165
0.8867924528301887,279,0.8798880179171332,279,359956,aggregated,10169
0.5743243243243243,532,0.5705342902711323,532,359959,aggregated,10221
0.7733333333333333,6978,0.8037971905179981,6978,359955,aggregated,10089
0.8584905660377359,816,0.8830459126539754,816,359956,aggregated,10177
0.6845637583892618,533191,0.6141678823925485,482204,2073,aggregated,10250
1.0,616,1.0,554,359960,aggregated,10299
0.6621621621621622,34691,0.6783808231569426,31219,359954,aggregated,10052
1.0,323,0.9993589743589745,323,359960,aggregated,10287
0.6891891891891891,1117,0.6934871099050203,1116,359954,aggregated,10031
0.5337837837837838,21319,0.568278651173388,18767,359959,aggregated,10217
0.6216216216216216,62681,0.6845771144278607,56659,359954,aggregated,10040
1.0,42041,0.9993548387096775,36263,359960,aggregated,10295
0.8773584905660378,457,0.8882866741321388,425,359956,aggregated,10153
0.8695652173913043,36667,0.880926779313876,33203,146818,aggregated,10018
0.8767772511848341,275971,0.8698635477582846,249958,359962,aggregated,10332
0.9178082191780822,71697,0.9123583159842703,65192,359958,aggregated,10196
0.8720379146919431,59976,0.8677638540796435,53930,359962,aggregated,10351
0.7733333333333333,326,0.8037532923617208,297,359955,aggregated,10064
0.8695652173913043,13661,0.8856118791602663,12173,146818,aggregated,10006
0.910958904109589,33361,0.9207205644228547,32105,359958,aggregated,10188
0.8705882352941177,1445,0.864678742310321,1445,190146,aggregated,10111
0.7733333333333333,47171,0.8083845478489904,43595,359955,aggregated,10068
0.841025641025641,599641,0.8035566502463055,571627,168784,aggregated,10321
0.910958904109589,27042,0.9169269026139254,24562,359958,aggregated,10184
0.8862559241706162,31581,0.865118351434141,28833,359962,aggregated,10343
0.7733333333333333,1452,0.8069359086918351,1452,359955,aggregated,10076
0.8985507246376812,42946,0.8791602662570404,38897,146818,aggregated,10014
0.8823529411764706,1445,0.8370471633629529,1445,190146,aggregated,10103
0.841025641025641,294521,0.8087290640394089,281639,168784,aggregated,10317
0.9246575342465754,688,0.9176960444136018,688,359958,aggregated,10205
0.77,578,0.7733333333333333,526,168757,aggregated,10148
0.6644295302013423,168871,0.6187521041409494,153397,2073,aggregated,10270
0.8205128205128205,397751,0.7954909688013136,366027,168784,aggregated,10309
0.8,118592,0.7666666666666667,107254,168757,aggregated,10135
0.927536231884058,35791,0.8857654889912954,32449,146818,aggregated,10022
